age,workclass,education,education_num,marital_status,occupation,relationship,race,capital_gain,capital_loss,hours_per_week,native_country,sex_encoded,income
52,2,9,5,2,10,0,4,0,0,4,9,1,1
80,2,3,5,4,2,0,4,34986,0,42,9,0,0
78,2,10,4,4,6,1,4,0,0,17,9,1,0
18,3,9,9,2,7,0,4,0,0,19,9,0,0
21,2,13,9,2,13,1,4,0,0,73,9,0,1
34,2,4,13,4,8,0,4,0,0,43,9,1,0
46,2,15,1,4,7,1,4,0,0,54,9,0,1
63,2,3,14,2,0,1,4,0,0,55,9,1,0
36,2,14,2,6,9,2,4,97788,0,56,9,0,0
29,2,9,3,4,8,2,4,0,0,95,9,1,0
68,6,6,14,2,8,4,4,0,0,37,9,1,0
72,2,7,7,2,4,4,4,0,0,91,9,0,0
46,2,1,4,5,1,0,4,0,0,94,9,1,0
45,6,13,9,2,0,0,4,0,0,12,5,1,0
20,2,3,2,2,5,3,4,0,0,64,9,1,1
28,4,11,1,4,0,5,4,0,0,81,9,1,0
55,2,1,10,2,3,2,4,0,0,69,5,0,0
85,2,11,6,2,10,3,4,0,0,52,9,1,0
89,1,13,14,2,2,3,4,0,0,52,9,0,0
52,2,15,11,4,10,5,4,0,0,16,9,0,0
56,6,4,6,0,8,5,4,0,0,98,9,1,1
31,6,9,7,2,5,5,4,0,0,97,9,1,1
21,2,1,12,4,3,4,4,0,310,3,9,1,0
79,2,13,3,0,0,1,4,0,0,82,9,0,0
68,2,6,4,4,6,1,2,0,0,63,9,0,0
73,6,14,8,1,7,0,2,71423,0,55,9,0,1
60,2,8,6,4,4,3,4,0,0,33,9,1,0
49,3,1,8,4,5,2,4,0,0,3,9,0,0
53,2,11,10,2,4,3,1,0,0,22,9,0,1
71,2,3,12,2,2,2,4,0,0,43,9,1,1
18,2,7,15,4,12,2,2,0,0,23,9,0,0
57,6,10,1,2,5,3,2,0,0,74,9,1,1
49,4,1,13,4,1,5,4,0,0,38,9,0,0
55,2,12,5,4,2,0,4,0,0,50,9,0,0
71,2,14,9,4,1,4,4,0,0,95,5,1,0
52,1,3,8,4,1,4,4,0,0,6,9,1,0
45,0,6,6,2,5,0,4,0,0,91,9,0,1
83,2,11,13,2,0,2,4,0,0,88,9,0,1
25,2,2,9,4,12,4,4,0,0,19,9,1,0
44,2,9,1,2,5,0,4,0,0,70,9,1,0
20,2,6,12,2,10,4,4,0,0,29,9,1,0
53,2,4,10,2,8,1,4,0,0,81,9,1,1
66,5,1,11,2,0,5,4,0,0,2,9,1,1
17,4,9,4,2,6,2,4,0,0,41,1,1,1
58,1,0,10,4,6,1,4,0,0,11,9,0,0
32,2,12,8,6,9,4,4,0,0,76,7,1,0
34,2,2,3,2,3,1,4,0,0,42,0,0,0
19,2,8,12,0,2,1,4,0,0,82,9,0,1
74,2,3,14,2,3,4,4,0,0,39,9,0,0
80,1,0,13,2,6,0,4,0,0,45,9,1,0
29,2,6,4,4,13,4,4,73285,0,1,9,1,0
79,2,2,1,4,1,1,1,0,0,35,9,0,0
36,2,10,12,2,0,1,4,0,0,28,9,0,0
36,2,13,3,2,4,1,4,0,0,96,9,1,0
23,6,9,10,2,8,1,4,0,0,69,9,1,1
88,2,4,2,2,9,3,4,70649,0,41,9,1,0
88,3,11,6,0,13,1,2,0,0,79,9,1,0
50,2,14,8,2,4,5,4,0,0,69,9,1,0
67,2,10,5,3,11,1,4,76551,0,54,9,1,1
68,5,15,12,2,11,5,4,94974,0,72,9,0,1
88,2,13,5,2,11,3,4,0,0,95,3,1,1
69,2,4,15,4,8,0,4,0,0,56,9,1,0
30,2,11,10,2,8,1,4,0,0,49,7,1,1
41,2,9,5,4,1,5,4,0,0,60,9,1,1
60,4,15,10,5,11,5,2,0,0,8,9,1,0
25,1,7,6,2,8,0,4,0,0,83,9,1,0
36,2,0,1,0,0,3,4,6496,0,66,9,1,0
50,2,14,6,2,10,1,4,0,0,67,9,1,1
78,4,5,9,4,6,3,1,0,0,77,9,1,0
76,2,0,14,6,5,0,4,0,4024,96,9,1,0
21,2,9,8,2,13,2,4,41511,0,43,9,1,0
80,2,3,9,2,10,4,4,0,0,64,9,0,0
67,4,7,7,0,10,5,4,0,0,61,9,0,0
86,2,14,2,0,12,2,4,0,0,27,9,0,0
89,2,5,12,2,9,0,4,0,0,34,9,1,1
30,2,9,7,0,11,4,4,0,0,70,9,1,0
75,3,0,7,2,0,0,4,0,679,42,9,1,1
40,2,13,7,4,9,3,4,0,0,84,9,0,1
59,2,1,5,2,6,2,2,0,0,27,9,0,0
79,2,15,12,0,4,4,4,0,0,95,9,1,1
64,2,0,14,0,8,2,4,0,0,2,9,1,1
32,2,14,9,2,13,5,4,0,0,71,9,0,0
20,3,1,13,2,5,1,4,0,0,77,9,1,0
17,2,5,2,4,6,5,4,0,0,96,9,1,1
24,2,5,6,2,10,1,4,0,0,31,9,1,0
81,2,14,2,6,9,1,4,0,0,11,9,1,0
63,2,3,8,2,3,0,4,0,0,88,9,1,0
26,2,4,4,2,0,1,4,0,0,52,9,1,1
83,4,13,12,6,9,0,4,0,0,89,9,1,1
72,1,12,12,0,6,1,4,35641,0,95,9,0,1
41,2,1,7,2,2,4,4,0,3792,11,9,0,0
51,2,6,13,5,5,5,2,0,0,77,9,1,1
35,4,2,2,2,11,3,4,0,0,59,9,1,1
32,2,0,12,2,5,3,4,0,0,67,9,1,1
28,2,15,10,4,5,3,4,0,0,11,9,1,0
69,2,2,6,2,5,3,4,0,0,22,9,1,1
84,2,6,11,2,4,0,4,0,0,66,9,1,0
82,6,10,12,5,0,0,4,0,0,72,9,0,0
50,2,11,8,0,6,0,4,9542,0,6,4,0,0
19,1,7,10,2,3,4,4,0,0,28,9,1,0
25,2,11,4,4,9,1,4,0,0,79,9,1,0
80,2,13,9,2,13,2,4,11124,0,86,9,0,0
23,1,2,15,2,5,3,4,0,0,58,2,1,0
58,5,12,6,2,4,5,4,0,0,43,9,0,0
43,2,6,7,2,2,1,3,0,0,30,9,0,1
39,2,13,8,2,0,4,4,0,0,87,9,1,1
29,2,7,10,4,7,0,1,0,0,43,9,0,1
80,2,4,10,2,11,0,1,0,4020,34,9,1,1
17,2,10,15,6,0,2,3,0,0,76,9,1,0
29,2,0,1,2,7,2,4,0,0,25,9,1,0
47,5,11,1,4,0,3,4,0,0,28,9,1,1
27,5,1,8,4,9,3,1,0,0,78,9,1,1
52,2,2,1,4,5,2,4,0,0,39,5,1,0
22,2,14,1,6,3,1,4,0,0,85,9,1,1
53,2,12,5,6,0,1,4,0,0,31,9,0,0
20,2,2,14,2,5,0,4,0,0,98,9,0,0
29,2,6,6,4,8,4,4,0,0,16,9,1,1
59,4,10,5,2,5,5,4,21768,0,25,9,1,0
22,2,5,5,2,4,5,4,0,0,58,9,1,1
23,2,11,12,0,5,5,2,0,0,79,9,1,1
39,4,4,11,2,13,1,2,35070,0,21,9,1,1
26,2,9,7,2,3,1,4,0,0,83,9,1,0
67,2,15,5,4,10,3,4,0,0,3,9,1,1
19,2,2,2,4,11,0,4,0,0,70,9,1,1
29,2,2,3,4,4,2,4,0,0,12,9,0,0
83,2,12,1,4,5,4,4,0,0,58,9,0,0
27,2,1,4,1,13,3,4,0,0,76,9,1,0
85,1,2,10,2,1,4,4,0,0,86,9,0,0
60,2,10,12,2,9,0,4,0,0,70,9,0,1
35,2,0,10,0,9,1,4,0,0,23,9,1,0
89,2,13,11,4,0,3,4,0,0,39,0,0,0
47,4,7,7,4,2,3,4,0,0,12,9,0,0
56,4,9,6,4,1,5,4,0,0,97,9,1,0
65,2,12,14,4,9,0,4,0,0,84,9,1,0
86,2,12,7,6,6,5,4,81971,0,34,9,1,0
76,2,13,14,0,11,2,4,0,0,94,9,1,1
78,2,4,13,5,3,2,2,0,0,69,9,1,0
48,1,2,4,4,8,5,4,0,0,49,9,1,0
71,2,10,10,4,0,2,4,0,0,34,9,1,0
39,2,6,13,2,12,3,4,26869,0,30,9,1,0
61,2,8,10,2,12,0,4,0,0,94,9,1,0
42,2,15,13,4,5,1,4,0,0,49,9,0,1
50,6,8,15,2,11,2,4,0,3583,33,1,0,0
84,2,5,1,4,6,5,4,0,0,73,9,1,1
19,2,6,6,2,5,2,4,0,0,29,9,1,0
18,2,2,8,4,5,2,4,0,0,28,9,1,0
70,2,0,7,4,5,5,4,0,0,48,4,0,1
19,2,1,12,0,4,3,1,0,0,24,9,1,0
42,0,15,14,2,4,0,4,0,0,8,9,1,0
45,2,2,10,2,5,3,4,0,0,36,9,0,0
87,2,8,4,4,6,2,4,0,0,83,9,1,1
56,2,1,13,2,0,2,4,0,0,44,9,0,0
84,2,8,14,4,8,4,4,0,0,1,9,0,0
20,2,8,8,2,7,0,4,0,0,33,9,1,1
75,2,2,5,2,10,5,4,0,0,9,9,1,0
32,2,14,7,1,7,4,4,53939,0,55,9,1,0
32,2,9,9,2,5,4,4,0,0,10,9,1,1
64,2,8,14,2,10,5,4,0,0,71,9,1,1
38,2,6,10,2,6,0,4,0,0,6,7,1,1
62,4,5,7,4,8,3,4,0,0,42,9,1,0
52,0,10,4,2,0,2,4,0,0,56,9,1,0
18,2,3,13,4,4,1,4,0,0,15,9,1,1
23,2,13,2,4,8,5,4,0,0,61,9,1,0
32,4,15,13,2,12,2,4,0,3236,75,9,0,0
77,5,1,7,4,5,2,4,0,0,20,4,0,0
63,4,8,11,4,2,1,4,0,0,36,9,1,0
24,2,14,7,4,6,2,4,0,0,61,4,1,0
39,6,9,14,2,8,1,4,0,0,67,9,1,0
72,2,11,10,4,5,2,4,0,0,9,9,1,0
82,3,7,5,2,7,3,4,0,0,30,9,0,0
77,2,1,15,1,3,0,4,0,0,23,9,1,1
26,2,4,4,4,5,1,4,0,0,94,9,1,0
47,2,6,8,2,5,3,4,0,0,59,1,1,1
23,4,0,15,6,4,2,4,0,0,17,9,1,0
81,4,3,13,2,1,0,4,0,0,42,9,1,0
29,4,11,1,4,1,3,4,46390,0,8,9,1,1
87,2,3,10,2,10,3,4,0,0,46,9,1,1
74,2,13,8,5,5,1,2,0,0,97,7,1,0
72,2,4,11,0,12,2,4,66077,0,38,9,1,0
26,2,3,8,2,4,4,4,0,0,88,9,0,0
63,2,3,5,6,12,4,4,0,0,69,9,0,0
87,4,11,2,2,11,2,4,0,0,82,9,1,0
26,2,11,3,0,7,2,4,0,0,55,9,1,0
58,4,2,10,2,10,4,4,0,0,58,9,1,1
58,2,11,5,2,9,2,4,0,0,51,9,1,1
48,2,2,13,2,9,0,4,0,0,41,9,0,0
88,2,2,11,2,9,4,4,0,0,98,4,1,1
45,2,3,8,6,8,0,4,0,0,54,9,0,1
65,2,0,14,2,6,2,4,0,0,59,9,0,0
57,2,6,2,2,13,2,4,0,0,86,3,1,0
81,2,3,13,2,4,3,4,0,0,23,9,1,1
33,6,3,13,2,2,0,4,0,0,89,9,0,0
75,2,0,4,2,2,5,4,0,0,33,9,0,0
68,2,6,3,4,8,0,4,0,0,5,9,0,1
87,6,15,11,0,8,5,4,0,0,94,9,0,0
72,1,2,14,2,0,1,4,0,0,66,9,1,0
88,2,4,6,4,7,5,4,0,0,24,9,1,0
26,2,12,8,2,7,0,4,0,0,4,9,1,1
60,2,4,1,2,10,3,4,0,0,83,9,0,0
75,2,13,8,2,3,5,4,0,0,35,9,1,0
29,2,7,9,2,4,3,4,0,0,88,9,1,1
79,1,15,7,2,5,0,4,0,0,37,9,1,1
45,2,15,14,2,3,1,4,0,0,86,9,1,1
83,2,5,10,2,5,4,4,0,0,45,9,0,1
44,4,11,12,6,9,0,4,0,0,6,9,1,0
31,2,3,1,2,8,4,4,0,0,86,9,1,0
29,4,4,15,0,9,3,4,0,0,21,9,1,1
54,2,2,10,4,7,0,2,0,2790,41,9,0,0
34,3,5,13,2,3,4,4,0,0,2,9,1,0
69,5,1,6,4,5,1,4,0,0,94,9,1,0
38,2,10,14,4,12,4,2,58185,0,94,9,0,1
50,2,6,1,2,13,5,4,52654,0,97,9,1,1
38,2,13,12,2,10,2,4,0,0,27,9,1,0
21,2,7,9,4,11,3,2,0,0,89,9,0,0
84,5,10,10,2,5,5,4,0,0,98,9,1,1
84,2,1,3,4,13,3,4,0,0,53,5,1,0
46,2,14,2,4,3,4,4,55346,0,49,9,1,0
46,2,11,11,2,10,0,4,0,0,77,9,0,0
30,2,6,7,2,7,0,4,0,0,73,9,1,1
66,2,12,15,2,3,2,2,0,0,50,9,1,0
64,2,14,15,2,12,5,4,0,3833,15,9,1,1
83,4,7,6,2,2,3,4,0,0,96,9,0,0
66,4,4,7,0,5,3,2,0,0,40,9,0,1
61,2,3,13,2,9,4,4,0,0,95,9,1,1
34,2,11,3,2,12,3,4,0,0,95,9,1,1
68,2,8,12,3,9,5,4,0,0,89,9,1,0
87,1,0,9,2,7,5,4,0,0,21,9,1,0
85,2,6,13,2,9,4,4,0,0,26,9,0,0
81,2,11,15,4,13,1,4,0,0,84,9,0,1
20,1,0,8,4,13,5,4,0,0,36,9,1,0
54,0,7,8,2,3,4,4,0,0,10,7,1,0
74,2,15,11,2,3,2,4,0,0,65,9,1,0
34,5,5,4,4,10,3,4,0,0,53,9,1,0
74,2,11,1,4,10,2,4,0,0,13,9,1,0
75,2,13,10,2,1,0,4,0,0,5,9,0,0
84,2,3,13,4,12,1,4,0,934,35,9,1,0
54,0,9,15,2,7,3,4,0,0,96,9,1,1
34,2,4,14,4,3,1,4,0,0,18,9,1,0
58,2,7,7,2,5,2,4,0,0,65,9,1,0
58,4,4,2,2,3,1,4,0,0,64,0,1,0
87,2,3,7,5,11,0,4,0,0,22,9,1,0
78,2,1,5,2,3,2,4,0,0,56,9,1,0
26,2,14,2,4,5,2,4,0,0,64,9,1,1
85,2,4,15,2,9,3,4,0,0,93,9,1,1
83,2,6,13,4,6,2,4,0,0,76,9,1,0
18,2,1,1,4,7,4,4,58988,0,12,9,1,1
86,2,2,3,4,5,5,4,0,0,39,4,1,1
40,2,12,7,2,4,1,4,0,0,82,9,1,0
53,2,3,4,0,6,2,4,0,0,44,9,0,0
77,0,5,4,0,12,5,3,0,0,31,9,0,0
73,2,8,11,4,2,0,4,0,0,41,9,1,0
87,2,5,11,2,3,2,4,0,0,46,9,1,0
31,4,10,15,4,1,3,4,0,0,18,9,1,1
65,2,7,9,2,10,3,4,0,0,67,9,1,1
83,0,1,9,2,6,3,4,66366,0,30,9,1,1
39,2,7,6,2,5,3,2,0,0,88,9,1,1
85,3,1,4,2,13,0,4,0,1166,30,9,0,0
86,2,8,4,0,1,5,4,0,0,18,9,1,1
47,2,15,5,0,5,3,4,0,0,97,8,1,0
53,0,0,2,2,5,3,4,0,0,87,9,1,0
46,2,2,3,4,0,5,4,0,0,21,9,1,0
39,2,8,6,2,0,2,4,0,0,54,9,1,0
25,2,4,4,4,5,5,4,0,0,90,9,0,0
19,2,2,3,2,13,3,4,0,0,60,6,0,1
30,1,6,7,4,0,0,4,0,0,61,9,0,0
88,2,3,5,4,13,1,4,0,0,71,9,1,0
19,2,7,9,2,4,2,4,0,0,98,9,1,1
33,3,5,9,2,3,3,4,0,0,60,9,0,1
54,3,1,9,4,0,1,4,0,0,37,9,1,0
57,2,5,6,4,5,2,4,0,0,12,3,0,0
42,2,7,11,0,1,2,4,0,0,88,9,0,1
81,2,10,6,0,0,2,4,0,0,6,9,1,0
46,2,8,2,4,4,0,4,0,0,15,9,0,0
44,2,3,14,4,3,5,4,0,0,43,9,1,1
39,2,11,8,3,9,1,4,0,0,4,9,1,0
50,2,8,6,2,7,1,4,0,1147,69,9,1,0
58,2,4,10,0,0,0,4,0,0,60,9,1,0
85,0,11,7,0,5,3,4,0,0,25,9,1,1
17,6,9,1,2,12,4,4,0,0,82,9,1,0
21,2,2,1,4,7,4,4,0,0,19,0,0,0
43,2,2,7,2,13,4,4,0,0,13,9,1,0
87,2,4,1,4,13,4,4,0,0,68,9,1,0
31,2,2,6,2,5,2,4,0,0,64,9,0,1
83,2,10,5,2,11,3,4,0,0,73,9,1,0
57,2,14,5,2,5,2,2,0,0,80,9,1,0
17,2,12,9,2,13,2,4,0,0,56,9,0,0
63,2,2,11,2,6,1,4,0,0,55,9,1,0
74,5,7,5,4,6,3,4,0,0,61,9,1,0
73,2,10,13,4,11,4,4,0,0,65,6,1,0
49,2,0,7,2,2,2,2,0,0,20,5,0,1
39,1,3,7,4,7,5,4,0,944,21,9,1,1
66,2,0,3,4,6,3,4,82086,0,61,3,1,0
41,1,1,15,2,8,5,0,0,0,77,8,1,0
39,5,9,8,4,9,4,4,0,0,92,9,1,1
75,2,8,4,2,6,0,4,0,0,97,9,1,1
78,6,15,5,2,4,1,4,0,0,7,9,0,0
82,2,7,6,4,5,3,4,0,0,77,4,0,0
88,2,12,8,0,2,3,4,0,0,23,9,0,1
33,2,11,7,4,12,3,4,0,0,81,9,0,0
77,2,3,4,2,13,3,4,0,0,22,9,1,1
87,2,11,5,4,0,3,3,0,0,1,9,1,0
48,2,7,9,5,12,4,4,0,0,36,9,1,0
55,2,14,8,4,7,1,4,0,0,35,9,1,1
85,4,2,1,4,6,2,4,0,0,47,9,0,0
86,4,8,12,4,10,1,4,0,0,59,9,0,0
85,2,7,15,2,9,1,4,0,0,18,9,1,0
54,3,4,7,0,12,1,4,0,0,95,9,1,0
65,2,14,11,4,13,4,4,0,0,90,9,1,1
48,2,11,12,2,4,1,4,0,0,50,9,1,0
19,2,12,5,2,8,2,4,0,0,52,9,1,0
88,2,9,10,2,1,5,4,0,0,35,9,1,0
18,2,3,7,2,0,1,4,0,0,29,9,1,0
55,2,3,8,2,1,2,4,0,0,50,9,1,1
37,2,3,2,2,8,2,4,0,0,6,9,1,1
55,0,10,15,1,11,4,4,0,0,59,5,1,1
81,2,6,2,2,8,1,4,99382,0,52,9,0,1
25,2,11,12,2,3,2,4,0,0,56,9,0,0
60,2,5,12,0,9,3,4,0,0,62,9,0,0
71,2,13,12,2,3,2,2,0,0,89,7,0,0
81,2,9,2,4,13,5,2,0,0,79,9,1,0
20,4,6,7,4,10,4,4,0,0,10,9,1,0
74,2,4,15,2,12,1,4,0,0,80,9,1,1
40,6,11,8,2,2,3,4,91139,0,24,9,1,0
88,2,13,4,2,2,2,4,0,0,41,4,0,0
46,2,14,6,0,4,4,4,0,0,57,9,0,0
66,2,10,3,2,1,2,2,98413,0,24,9,0,1
58,3,11,15,2,5,5,4,0,0,17,9,1,0
74,3,4,7,4,1,4,4,0,0,55,9,1,0
52,2,13,6,2,10,2,4,0,0,9,9,0,0
31,2,11,8,4,12,3,4,0,0,59,9,0,0
82,6,14,11,2,12,4,1,0,0,38,9,1,0
19,1,3,14,2,13,5,2,0,0,67,9,1,1
57,2,8,10,2,4,3,4,0,0,46,9,1,1
33,2,2,1,4,9,5,4,0,0,80,9,0,0
83,2,11,10,2,13,2,4,0,0,44,9,0,0
21,4,6,8,2,0,1,4,0,0,26,9,1,1
35,4,9,7,4,9,1,4,0,0,31,9,1,0
40,4,13,14,4,10,4,4,76395,0,29,9,0,0
53,2,0,15,2,5,3,4,0,0,78,9,1,1
54,2,3,9,2,13,3,4,0,0,61,9,1,0
61,2,3,7,5,10,1,4,0,0,57,9,1,1
26,2,12,9,4,2,5,4,0,0,31,9,1,0
17,2,8,11,0,11,1,4,0,0,90,9,0,0
28,2,1,7,2,8,5,4,0,4138,11,9,0,0
72,2,5,8,4,7,3,4,0,0,37,9,1,0
52,2,10,2,2,7,3,4,0,0,45,9,0,0
73,2,1,9,4,11,3,4,0,0,25,9,1,0
31,2,1,11,2,1,5,4,0,0,32,9,1,1
42,2,1,5,2,13,1,4,0,0,95,9,1,0
56,2,0,14,4,5,3,4,0,0,66,9,1,0
66,2,3,5,4,6,4,4,0,0,33,9,1,0
23,3,15,12,4,5,2,4,0,0,51,9,1,1
62,2,7,15,4,13,2,4,0,0,20,9,1,0
88,2,2,6,2,5,0,2,0,0,47,9,1,0
53,6,5,13,4,9,3,4,24648,0,35,5,1,0
30,2,2,1,4,5,4,4,0,0,19,9,1,0
42,5,0,2,2,11,4,4,0,0,28,9,1,0
66,2,15,10,4,10,1,4,0,0,65,9,0,0
87,4,7,8,4,5,0,2,0,0,31,9,0,0
59,2,13,11,2,9,1,4,0,0,44,9,0,0
27,5,9,5,3,5,1,4,0,0,60,9,1,0
52,2,2,12,2,1,5,1,0,0,45,9,1,0
17,1,6,15,4,7,4,4,0,0,1,9,0,0
85,2,13,8,2,5,1,4,0,0,34,9,0,0
45,2,3,10,2,4,5,2,0,0,80,9,1,0
19,2,6,8,2,5,5,4,0,0,88,1,0,1
74,2,6,6,2,7,0,4,0,0,9,9,1,0
48,4,1,12,4,5,0,4,0,0,66,9,1,1
20,2,4,10,4,13,4,4,0,0,40,9,0,1
84,2,6,10,0,5,5,4,0,0,31,9,0,0
52,2,15,8,2,6,2,4,0,0,21,9,0,0
85,2,12,4,2,6,0,4,0,0,84,9,1,0
86,2,13,11,4,1,3,4,0,0,92,9,1,0
21,2,6,9,2,2,2,2,0,0,9,4,0,1
82,2,3,2,4,0,2,4,0,0,41,9,1,0
85,2,5,9,2,5,2,4,0,0,27,9,1,0
71,2,2,9,0,9,5,4,0,0,53,9,1,1
65,5,15,10,4,5,5,4,0,0,85,9,1,0
32,4,5,14,2,4,1,4,0,0,66,9,0,0
35,3,15,7,4,3,2,2,0,0,84,9,0,0
74,5,0,13,2,5,2,4,0,0,22,9,1,1
72,1,1,8,0,13,3,4,0,0,20,9,0,0
48,2,0,2,2,10,4,4,32780,0,9,9,0,0
58,2,11,7,2,11,5,4,0,0,53,9,1,0
30,5,1,11,2,13,3,4,0,1687,81,9,1,0
20,4,8,11,2,11,1,4,66723,0,32,3,1,0
89,1,10,8,2,9,2,4,0,0,32,9,1,0
67,5,13,10,2,6,1,4,0,0,5,9,1,0
45,2,1,12,0,4,3,4,0,0,33,9,0,0
34,6,9,11,2,3,2,4,0,0,22,9,1,0
54,2,10,5,0,4,3,4,0,0,40,9,1,1
35,1,8,2,0,10,1,4,0,0,55,9,1,0
43,4,2,2,4,9,4,2,51282,0,35,9,0,0
81,1,14,1,2,9,0,4,0,0,77,9,0,0
58,4,8,12,2,10,0,2,0,0,83,9,0,1
84,6,3,8,2,11,5,4,0,0,65,9,1,0
53,5,9,9,4,9,0,4,0,0,86,9,1,1
30,2,15,2,4,13,2,4,0,0,1,7,0,0
29,2,12,13,4,3,2,4,0,0,61,9,1,0
42,6,5,2,5,5,3,4,0,0,23,9,1,0
78,2,9,14,2,6,3,4,0,0,87,9,0,0
38,2,2,6,2,0,0,4,0,553,92,9,0,1
50,2,2,2,2,5,1,4,0,0,31,9,0,0
44,2,15,10,4,3,0,2,0,0,50,5,1,0
53,6,1,3,2,2,4,4,0,0,44,0,0,0
77,2,9,15,4,2,2,4,0,3284,36,9,1,0
79,2,7,5,4,5,1,4,0,0,39,9,1,0
71,2,8,14,4,9,4,4,0,0,96,9,1,0
19,0,9,1,2,6,4,4,0,0,65,9,0,0
66,0,3,12,4,0,1,4,0,0,23,2,0,0
46,2,4,14,4,5,0,4,0,0,40,6,1,0
39,2,15,15,6,10,3,4,53626,0,97,9,0,1
39,2,3,4,4,12,1,2,0,0,58,9,0,0
26,2,12,10,0,5,4,4,29674,0,42,4,1,0
67,2,4,9,0,9,4,4,0,0,65,9,0,0
84,2,10,7,4,9,2,4,0,0,33,3,1,1
21,2,15,5,4,4,4,4,0,0,35,9,1,0
17,6,0,7,0,3,0,4,0,0,81,9,1,0
45,3,0,14,2,4,5,4,0,0,73,9,1,0
37,2,2,10,4,6,0,4,0,0,5,9,1,0
25,2,6,6,2,1,2,4,0,0,94,9,1,0
33,0,12,7,2,8,5,4,0,0,87,9,1,0
75,2,8,8,2,5,1,4,0,0,83,9,1,0
50,2,1,2,6,4,1,4,37951,0,49,9,0,0
17,1,3,5,4,10,2,4,0,0,1,9,1,1
68,4,2,5,0,5,0,4,0,0,1,9,1,1
23,6,10,3,2,13,1,4,0,0,73,9,0,0
59,2,6,10,4,3,3,4,0,0,76,0,0,1
